辽宁电信,#genre#
甘肃卫视,http://39.134.52.215/PLTV/88888888/224/3221226612/index.m3u8
广东卫视,http://39.134.52.215/PLTV/88888888/224/3221226614/index.m3u8
黑龙江卫视,http://39.134.52.215/PLTV/88888888/224/3221226620/index.m3u8
内蒙古卫视,http://39.134.52.215/PLTV/88888888/224/3221226626/index.m3u8
青海卫视,http://39.134.52.215/PLTV/88888888/224/3221226628/index.m3u8
西藏卫视,http://39.134.52.215/PLTV/88888888/224/3221226630/index.m3u8
云南卫视,http://39.134.52.215/PLTV/88888888/224/3221226634/index.m3u8
云南卫视,http://39.134.52.215/PLTV/88888888/224/3221227134/index.m3u8
吉林卫视,http://39.134.52.215/PLTV/88888888/224/3221226763/index.m3u8
延边卫视,http://39.134.52.215/PLTV/88888888/224/3221226767/index.m3u8
康巴卫视,http://39.134.52.215/PLTV/88888888/224/3221226822/index.m3u8
安多卫视,http://39.134.52.215/PLTV/88888888/224/3221226769/index.m3u8
农林卫视,http://39.134.52.215/PLTV/88888888/224/3221226818/index.m3u8
山东教育,http://39.134.52.215/PLTV/88888888/224/3221226816/index.m3u8
西藏藏语,http://39.134.52.215/PLTV/88888888/224/3221226820/index.m3u8

精彩频道,#genre#
睛彩篮球,http://39.134.52.215/PLTV/88888888/224/3221227075/index.m3u8
怀旧剧场,http://39.134.52.215/PLTV/88888888/224/3221227079/index.m3u8
风云足球,http://39.134.52.215/PLTV/88888888/224/3221227081/index.m3u8
睛彩竞技,http://39.134.52.215/PLTV/88888888/224/3221227138/index.m3u8
睛彩青少,http://39.134.52.215/PLTV/88888888/224/3221227140/index.m3u8
睛彩广场舞,http://39.134.52.215/PLTV/88888888/224/3221227142/index.m3u8
风云剧场,http://39.134.52.215/PLTV/88888888/224/3221227146/index.m3u8
风云音乐,http://39.134.52.215/PLTV/88888888/224/3221227148/index.m3u8
第一剧场,http://39.134.52.215/PLTV/88888888/224/3221227144/index.m3u8
新动漫,http://39.134.52.215/PLTV/88888888/224/3221226501/index.m3u8
家庭理财,http://39.134.52.215/PLTV/88888888/224/3221226538/index.m3u8

综合频道,#genre#
嘉佳卡通,http://39.134.52.215/PLTV/88888888/224/3221226514/index.m3u8
金鹰卡通高清,http://39.134.52.215/PLTV/88888888/224/3221226543/index.m3u8
金鹰卡通高清,http://39.134.52.215/PLTV/88888888/224/3221226940/index.m3u8
优漫卡通,http://39.134.52.215/PLTV/88888888/224/3221226548/index.m3u8
咪咕乒乓球,http://39.134.52.215/PLTV/88888888/224/3221226899/index.m3u8
咪咕7,http://39.134.52.215/PLTV/88888888/224/3221226901/index.m3u8
优购物,http://39.134.52.215/PLTV/88888888/224/3221227063/index.m3u8
家有购物,http://39.134.52.215/PLTV/88888888/224/3221226756/index.m3u8
央广购物,http://39.134.52.215/PLTV/88888888/224/3221226761/index.m3u8
聚鲨环球精选,http://39.134.52.215/PLTV/88888888/224/3221226765/index.m3u8

本地频道,#genre#
辽宁经济,http://39.134.52.215/PLTV/88888888/224/3221226505/index.m3u8
